PlatformNo,Platform number,Lat,Long,Tag,Top,Cash,,,
23756,Colombo St near Thorrington Rd,-43.56445,172.63715,118,2,,,,
23891,Colombo St near Walton St,-43.54929,172.63686,1635,64,268,,,
23257,Colombo St near Woodbridge Rd,-43.56698,172.63534,8212,189,1012,,,
23836,Colombo St near Wordsworth St,-43.54514,172.63675,1154,66,269,,,
17564,Commodore Hotel,-43.49724,172.55618,272,22,36,,,
33664,Coronation St near Selwyn St,-43.54957,172.6214,293,6,40,,,
22085,Coronation St near Selwyn St,-43.54989,172.62112,14,0,,,,
33629,Coronation St near Simeon St,-43.55122,172.61861,475,7,29,,,
22847,Coronation St near Simeon St,-43.55137,172.61863,86,7,,,,
53440,Corsair Dr - The Landing,-43.55341,172.55635,15114,569,1522,,,
51525,Corsair Dr near Gallaghan Cl,-43.55036,172.54885,157,4,6,,,
51491,Corsair Dr near Gallagher Cl,-43.55064,172.54915,1565,60,140,,,
51502,Corsair Dr near Grebe Pl,-43.54779,172.54436,3260,147,402,,,
51518,Corsair Dr near Harvard Ave,-43.54799,172.54484,475,12,44,,,
53907,Corsair Dr near Keene St,-43.55206,172.55371,2459,62,166,,,
53897,Corsair Dr near Keene St,-43.55196,172.55398,141,8,,,,
54084,Corsair Drive,-43.55349,172.55615,0,1,,,,
10493,Cranbrook Ave near Appleby Cres,-43.49965,172.5741,18,1,,,,
13174,Cranbrook Ave near Glencoe St,-43.49995,172.57475,1194,27,54,,,
13188,Cranbrook Ave near Grahams Rd,-43.50136,172.57696,859,64,196,,,
10504,Cranbrook Ave near Grahams Rd,-43.50126,172.57663,45,1,,,,
10486,Cranbrook Ave near Kendal Ave,-43.49841,172.57293,5,0,4,,,
42963,Cranford St near Berwick St,-43.50828,172.63797,1974,37,269,,,
29362,Cranford St near Berwick St,-43.50805,172.63756,1087,47,,,,
37161,Cranford St near Cornwall St,-43.51255,172.63832,1868,106,347,,,
29452,Cranford St near Edgeware Rd,-43.51301,172.63803,1482,119,477,,,
43977,Cranford St near Fraser St,-43.49019,172.6208,1934,78,988,,,
29499,Cranford St near Fraser St,-43.49038,172.62073,1087,68,,,,
29434,Cranford St near Innes Rd,-43.50152,172.63159,1906,42,262,,,
54294,Cranford St near Knowles St,-43.5018,172.6321,3098,128,318,,,
19284,Cranford St near Main North Rd,-43.48861,172.61776,4581,165,1737,,,
29531,Cranford St near Main North Rd,-43.48856,172.61717,3936,164,,,,
41896,Cranford St near Malvern St,-43.50406,172.63416,2038,21,299,,,
29389,Cranford St near Malvern St,-43.50361,172.63356,1136,11,,,,
19025,Cranford St near Mcfaddens Rd,-43.49919,172.62989,3873,79,1212,,,
29475,Cranford St near Mcfaddens Rd,-43.49877,172.62917,3605,136,,,,
19981,Cranford St near Westminster St,-43.50679,172.63664,2508,76,438,,,
29370,Cranford St near Westminster St,-43.50606,172.63579,1584,52,,,,
41877,Cranford St near Winton St,-43.51088,172.63839,2209,64,418,,,
29358,Cranford St near Winton St,-43.51006,172.63824,786,42,,,,
52873,Cranley St,-43.53352,172.67542,224,21,35,,,
24070,Craven St near Algidus St,-43.53366,172.5584,478,11,125,,,
25401,Craven St near Algidus St,-43.53387,172.55845,215,8,,,,
25429,Craven St near Algidus St,-43.53479,172.55975,26,1,,,,
39267,Cresswell Ave and New Brighton Rd,-43.5057,172.67401,693,12,52,,,
37876,Cresswell Ave near Gayhurst Rd,-43.50773,172.67211,81,6,21,,,
36794,Cresswell Ave near Gayhurst Rd,-43.50762,172.6729,3,0,,,,
28017,Creyke Rd,-43.52221,172.58835,1065,23,253,,,
13946,Creyke Rd,-43.51946,172.57978,1018,27,,,,
32318,Creyke Rd near Barlow St,-43.51959,172.5813,462,16,35,,,
47660,Creyke Rd near Clyde Rd,-43.52204,172.58818,1496,72,138,,,
24275,Cutts Rd near Delaware Cres,-43.52217,172.54252,444,27,54,,,
24268,Cutts Rd near Springhill St,-43.52024,172.54362,422,16,53,,,
24516,Cutts Rd near Yaldhurst Rd,-43.52246,172.54253,3348,145,374,,,
51404,Dallington,-43.51313,172.67401,3723,174,685,,,
29900,Daniels Rd,-43.47837,172.61742,1715,71,228,,,
29195,Daniels Rd,-43.47826,172.6178,51,1,,,,
29819,Daniels Rd near Hannah Pl,-43.4785,172.62036,542,27,74,,,
29182,Daniels Rd near Hannah Pl,-43.47838,172.62028,3,0,,,,
29985,Daniels Rd near Inca Pl,-43.47864,172.62638,4,0,,,,
29239,Daniels Rd near Marwick Pl,-43.4785,172.62309,3,0,2,,,
29916,Daniels Rd near Mottram St,-43.47863,172.62351,1584,32,150,,,
29937,Daniels Rd near Rathlin St,-43.47874,172.62616,1235,25,262,,,
54304,Darfield,-43.4906,172.10665,1702,55,108,,,
54315,Darfield Town Centre,-43.48989,172.11395,656,24,113,,,
32758,Defoe Pl,-43.54737,172.6481,772,33,148,,,
41127,Delta Wy near Ti Rakau Dr,-43.55149,172.69475,100,0,9,,,
50823,Diamond Harbour Jetty,-43.62337,172.73652,21206,1521,8064,,,
51119,Disraeli St near Braddon St,-43.54209,172.6239,46,4,14,,,
51126,Disraeli St near Selwyn St,-43.5423,172.62266,941,48,195,,,
13458,Dovedale Ave near Lynfield Ave,-43.52054,172.57167,486,15,59,,,
13040,Dovedale Ave near Waimairi Rd,-43.52066,172.57223,69,1,7,,,
53821,Doyleston,-43.74783,172.32784,94,1,1,,,
53832,Doyleston,-43.74793,172.32788,1,0,,,,
42218,Dublin St near Norwich Qy,-43.60253,172.71798,3895,106,272,,,
25866,Dunbars Rd near Balkwell St,-43.57025,172.56688,1146,32,233,,,
38113,Dunbars Rd near Balkwell St,-43.56992,172.56625,59,0,,,,
38099,Dunbars Rd near Ensign St,-43.57147,172.57051,1835,37,119,,,
28306,Dunbars Rd near Hindess St,-43.56803,172.56117,3789,117,178,,,
38121,Dunbars Rd near Lancewood Dr,-43.56794,172.56126,162,11,56,,,
38145,Dunbars Rd near Westlake Dr,-43.56699,172.55805,4559,81,355,,,
38132,Dunbars Rd near Westlake Dr,-43.56703,172.5586,270,14,,,,
42622,Duncan St near Campbell St,-43.57749,172.75817,2,0,,,,
42755,Duncan St near Truro St,-43.5774,172.75766,1093,26,202,,,
23183,Dyers Pass Rd and Hackthorne Rd,-43.57698,172.63072,1862,40,251,,,
52785,Dynes Rd near Faringdon Blvd,-43.6135,172.3852,804,12,19,,,
51415,Dynes Rd near Springston Rolleston Rd,-43.6097,172.39382,357,11,58,,,
52792,Dynes Rd near Springston Rolleston Rd,-43.60976,172.39388,3,0,,,,
52825,East Maddisons Rd near Lowes Rd,-43.60785,172.36577,797,31,152,,,
40882,Eastgate Mall (Buckleys Rd),-43.53231,172.67489,43478,3072,17843,,,
11164,Eastgate Mall (Buckleys Rd),-43.53199,172.67489,21987,1363,,,,
23033,Eastgate Mall (Linwood Ave),-43.5354,172.67564,334,17,43,,,
38431,Edgeware Rd near Bishop St,-43.51348,172.6416,3042,77,415,,,
38454,Edgeware Rd near Caledonian Rd,-43.5135,172.63588,5387,229,1052,,,
38514,Edgeware Rd near Caledonian Rd,-43.51336,172.63568,4358,121,,,,
38355,Edgeware Rd near Madras St,-43.51335,172.64334,729,41,72,,,
38340,Edgeware Rd near Packe St,-43.51345,172.64479,1567,69,149,,,
19746,Edgeware Village,-43.51428,172.63667,4683,221,972,,,
19266,Edgeware Village,-43.51391,172.6365,686,47,,,,
21665,Effingham St near Beach Rd,-43.48661,172.7171,108,5,19,,,
21935,Effingham St near Marine Pde,-43.4907,172.72434,36,0,9,,,
21789,Effingham St near Marine Pde,-43.49061,172.72417,32,2,,,,
21575,Effingham St near Monowai Cres,-43.49006,172.7179,125,9,38,,,
21864,Effingham St near Monowai Cres,-43.48955,172.71772,45,2,,,,
21736,Effingham St near Pegasus Ave,-43.48711,172.71725,39,2,12,,,
21581,Effingham St near Surfers Pl,-43.4919,172.72102,138,1,41,,,
21791,Effingham St near Surfers Pl,-43.4917,172.72115,98,3,,,,
50322,Ellesmere Junction Rd near Leeston Rd,-43.64313,172.42571,186,11,39,,,
50000,Ellesmere Junction Rd near Leeston Rd,-43.64292,172.42508,164,7,,,,
50295,Ellesmere Junction Rd near Mather Pl,-43.64221,172.41985,306,16,55,,,
50269,Ellesmere Junction Rd near Mather Pl,-43.64239,172.42039,136,3,,,,
24223,Emmett St,-43.50059,172.656,1682,105,167,,,
24140,Emmett St near Acheson Ave,-43.50134,172.65606,199,9,35,,,
24186,Emmett St near Bellbrook Cres,-43.49728,172.65535,1022,32,169,,,
24193,Emmett St near Bellbrook Cres,-43.49888,172.65655,294,14,,,,
24234,Emmett St near Jebson St,-43.50403,172.65549,765,45,172,,,
24058,Emmett St near Jebson St,-43.5041,172.65559,203,3,,,,
24776,Emmett St near Orcades St,-43.49981,172.65646,115,3,21,,,
24350,Emmett St near Riselaw St,-43.5058,172.65494,322,10,20,,,
24456,Emmett St near Riselaw St,-43.5057,172.65504,17,1,,,,
24345,Emmett St near Shirley Rd,-43.50783,172.65586,158,7,37,,,
24795,Emmett St near Skipton St,-43.4967,172.65476,450,39,80,,,
39694,Ensors Rd,-43.55084,172.65872,2731,98,1375,,,
36955,Ensors Rd,-43.55101,172.65878,2572,79,,,,
36940,Ensors Rd and Sullivan Ave,-43.54718,172.66169,2504,84,475,,,
36938,Ensors Rd near Charles St,-43.54486,172.66336,1705,72,408,,,
11563,Ensors Rd near Grenville St,-43.5445,172.66336,2282,101,972,,,
29738,Ensors Rd near Sullivan Ave,-43.54716,172.66137,3770,66,909,,,
24309,Epsom Rd near Carbine Pl,-43.53399,172.549,1271,77,271,,,
14534,Epsom Rd near Carbine Pl,-43.53328,172.54922,485,34,,,,
14259,Epsom Rd near Middlepark Rd,-43.53658,172.55079,206,10,35,,,
26492,Estuary Rd,-43.52266,172.73234,6415,349,1818,,,
26557,Estuary Rd,-43.52359,172.73291,112,0,,,,
26060,Estuary Rd near Beatty St,-43.52735,172.73436,2352,117,460,,,
26189,Estuary Rd near Beatty St,-43.52779,172.73473,108,0,,,,
26503,Estuary Rd near Bellamy Ave,-43.52109,172.73167,1553,40,200,,,
26542,Estuary Rd near Bellamy Ave,-43.52111,172.73184,42,4,,,,
26073,Estuary Rd near Cradock St,-43.52522,172.73346,1774,48,679,,,
26437,Estuary Rd near Cradock St,-43.5254,172.7337,15,1,,,,
26232,Estuary Rd near Ebbtide St,-43.53745,172.73877,225,7,38,,,
26395,Estuary Rd near Ebbtide St,-43.53791,172.73912,3,0,,,,
26348,Estuary Rd near Ebbtide St,-43.53626,172.73841,2,0,,,,
26221,Estuary Rd near Halsey St,-43.53412,172.73733,2491,86,736,,,
26686,Estuary Rd near Halsey St,-43.53619,172.73823,608,28,,,,
26353,Estuary Rd near Halsey St,-43.53421,172.73752,52,0,,,,
26143,Estuary Rd near Jellicoe St,-43.53235,172.73656,788,35,245,,,
26266,Estuary Rd near Jellicoe St,-43.53234,172.73671,5,0,,,,
26158,Estuary Rd near Sandra St,-43.53021,172.73562,1606,29,275,,,
26278,Estuary Rd near Sandra St,-43.53025,172.7358,8,1,,,,
54045,Faringdon (Blvd),-43.61665,172.38838,4813,159,177,,,
54050,Faringdon (Lansdowne Wy),-43.61639,172.38879,640,22,136,,,
41348,Fendalton,-43.5186,172.59199,1287,38,407,,,
17457,Fendalton,-43.51744,172.58833,366,22,,,,
32373,Fendalton Rd near Glandovey Rd,-43.5189,172.59538,475,12,95,,,
51368,Fendalton Rd near Holmwood Rd,-43.52215,172.61142,122,3,16,,,
32387,Fendalton Rd near Jacksons Rd,-43.51989,172.6045,491,10,85,,,
17921,Fendalton Rd near Mona Vale Ave,-43.52021,172.60732,238,6,68,,,
19307,Fendalton Rd near Quamby Pl,-43.51942,172.59887,315,6,52,,,
19297,Fendalton Rd near Snowdon Rd,-43.51928,172.59908,199,4,29,,,
32133,Fendalton Rd near Stratford St,-43.52005,172.60444,341,5,51,,,
19213,Fendalton Rd near Tui St,-43.51911,172.59584,194,1,30,,,
17435,Fendalton Rd near Wairarapa Tce,-43.52086,172.60816,195,4,44,,,
41382,Fendalton Rd near Waiwetu St,-43.51879,172.59194,283,5,51,,,
17419,Fendalton Rd near Wood Ln,-43.52284,172.61192,682,12,197,,,
53251,Ferry Rd (Ritchies Depot EB),-43.53765,172.64825,9432,212,1401,,,
32180,Ferry Rd (Ritchies Depot WB),-43.5379,172.64876,9659,195,1003,,,
32356,Ferry Rd near Aldwins Rd,-43.54293,172.66633,3032,84,621,,,
15759,Ferry Rd near Alport Pl,-43.55286,172.68984,410,23,105,,,
32743,Ferry Rd near Alport Place,-43.55248,172.68882,4975,224,1225,,,
23521,Ferry Rd near Bordesley St,-43.54117,172.66129,5295,199,607,,,
15582,Ferry Rd near Catherine St,-43.55028,172.6847,9062,461,1843,,,
15303,Ferry Rd near Catherine St,-43.55047,172.6853,1486,58,,,,
15553,Ferry Rd near Charlesworth St,-43.55573,172.69484,4596,185,457,,,
15716,Ferry Rd near Charlesworth St,-43.55529,172.69435,107,2,,,,
15763,Ferry Rd near Dyers Rd,-43.55427,172.69255,201,6,68,,,
15286,Ferry Rd near Hargood St,-43.54769,172.68009,341,10,170,,,
23513,Ferry Rd near Isabella Pl,-43.54259,172.66497,6560,258,1493,,,
53233,Ferry Rd near Lancaster St,-43.53912,172.65374,3854,123,426,,,
44385,Ferry Rd near Mackworth St,-43.54459,172.67029,9391,463,1577,,,
23509,Ferry Rd near Manning Pl,-43.5437,172.66796,3708,193,868,,,
15181,Ferry Rd near Manning Pl,-43.54371,172.66837,790,58,,,,
53222,Ferry Rd near Nursery Rd,-43.53948,172.65556,83,7,21,,,
15548,Ferry Rd near Oak St,-43.54922,172.68264,5868,466,2412,,,
40491,Ferry Rd near Osborne St,-43.54158,172.66275,1564,82,465,,,
15744,Ferry Rd near Palinurus Rd,-43.55176,172.68775,246,12,44,,,
23566,Ferry Rd near Phillipstown Cts,-43.54045,172.65908,13197,751,3794,,,
44183,Ferry Rd near Phillipstown Cts,-43.54021,172.65866,4351,245,,,,
15293,Ferry Rd near Portman St,-43.54918,172.68279,1223,42,393,,,
32105,Ferry Rd near Radley St,-43.54707,172.67855,7922,255,1756,,,
43418,Ferry Rd near Rutherford St,-43.55128,172.68654,4385,192,678,,,
40967,Ferry Rd near Settlers Cres,-43.55794,172.70462,3213,95,814,,,
15737,Ferry Rd near Settlers Cres,-43.55778,172.70462,606,9,,,,
15264,Ferry Rd near Smith St,-43.54495,172.67165,868,43,347,,,
15524,Ferry Rd near Tilford St,-43.54608,172.67492,6023,224,1408,,,
15272,Ferry Rd near Tilford St,-43.54619,172.67608,657,14,,,,
15576,Ferry Rd near Tunnel Rd,-43.55421,172.69206,1747,35,161,,,
15632,Ferry Rd near Waterman Pl,-43.55686,172.69859,1688,68,527,,,
15771,Ferry Rd near Waterman Pl,-43.55674,172.69862,619,21,,,,
15621,Ferrymead Shops,-43.55741,172.7017,6919,295,1946,,,
15511,Ferrymead Shops,-43.55735,172.70233,2569,105,,,,
20357,Fitzgerald Ave near Alexandra St,-43.5225,172.65072,6024,180,1147,,,
28784,Fitzgerald Ave near Alexandra St,-43.52281,172.65034,817,60,,,,
28713,Fitzgerald Ave near Armagh St,-43.52817,172.65033,3810,136,310,,,
28637,Fitzgerald Ave near Avonside Dr,-43.52771,172.65071,3156,90,254,,,
36046,Fitzgerald Ave near Harvey Tce,-43.52514,172.65137,1222,31,85,,,
28491,Fitzgerald Ave near River Rd,-43.52554,172.65083,293,6,64,,,
24425,Flockton St near Archer St,-43.50466,172.64395,573,8,47,,,
24730,Flockton St near Archer St,-43.50466,172.64376,32,0,,,,
24043,Flockton St near Carrick St,-43.50627,172.64541,1093,14,93,,,
24748,Flockton St near Carrick St,-43.50637,172.64531,47,0,,,,
37142,Frankleigh St,-43.56122,172.61713,1626,54,287,,,
37093,Frankleigh St,-43.56217,172.61584,643,21,,,,
11234,Frankleigh St near Alvarez Pl,-43.55914,172.61941,2422,100,619,,,
37616,Frankleigh St near Alvarez Pl,-43.55978,172.61947,1198,43,,,,
11626,Gamblins Rd near Ngaio St,-43.55907,172.6512,2935,90,526,,,
11674,Gamblins Rd near Ngaio St,-43.55868,172.65182,790,41,,,,
51174,Gardiners Rd near Sawyers Arms Rd,-43.47676,172.58585,76,10,27,,,
51188,Gardiners Rd near Sawyers Arms Rd,-43.4776,172.58537,16,0,,,,
41104,Gardiners Rd near Smacks Cl,-43.46361,172.58934,676,5,92,,,
40600,Gardiners Rd near Smacks Cl,-43.46317,172.58926,146,0,,,,
16963,Gardiners Rd near St Ives St,-43.48242,172.58163,3376,81,340,,,
16651,Gardiners Rd near St Ives St,-43.48229,172.58156,51,0,,,,
54633,Gardiners Road near Cullahill Street,-43.47974,172.58377,2743,52,540,,,
54622,Gardiners Road near Cullahill Street,-43.47931,172.5838,74,4,,,,
23407,Garlands Rd near Cumnor Tce,-43.55665,172.68029,10,1,5,,,
23448,Garlands Rd near Maunsell St,-43.55597,172.67433,19,0,11,,,
23815,Garlands Rd near Maunsell St,-43.55586,172.67448,1,0,,,,
23424,Garlands Rd near Tanner St,-43.55635,172.67758,4,0,9,,,
23804,Garlands Rd near Tanner St,-43.55622,172.67753,2,1,,,,
37778,Gayhurst Rd near Coopers Rd,-43.51036,172.67357,1210,44,109,,,
36804,Gayhurst Rd near Strathfield Ave,-43.51055,172.67379,28,0,3,,,
25907,Gerald St near Kildare Tce,-43.64006,172.48513,13136,596,3684,,,
45902,Gerald St near Kildare Tce,-43.6402,172.485,4484,149,,,,
25930,Gerald St near Murray Pl,-43.64105,172.47708,3497,107,652,,,
24397,Gerald St near Murray Pl,-43.64115,172.47711,272,10,,,,
50160,Gerald St near Springs Rd,-43.64152,172.47326,3830,143,567,,,
50187,Gerald St near Springs Rd,-43.64162,172.47327,289,10,,,,
25953,Gerald St near West Belt,-43.64048,172.482,5530,222,812,,,
25455,Gerald St near West Belt,-43.6407,172.48089,654,22,,,,
14919,Gilberthorpes Rd near Gregory Ave,-43.54,172.5158,1960,107,319,,,
14817,Gilberthorpes Rd near Prichard Cres,-43.53729,172.51737,846,57,375,,,
14122,Gilberthorpes Rd near Prichard Cres,-43.53704,172.5177,91,4,,,,
14612,Gilberthorpes Rd near Waterloo Rd,-43.5404,172.51576,75,6,30,,,
38624,Glandovey Rd,-43.51417,172.60512,1645,43,402,,,
19617,Glandovey Rd,-43.51407,172.60497,436,5,,,,
26999,Gloucester St,-43.52992,172.6659,8573,464,2255,,,
21030,Gloucester St,-43.52979,172.66656,844,45,,,,
46133,Gloucester St near Barbadoes St,-43.52991,172.64446,6727,232,1335,,,
46339,Gloucester St near Barbadoes St,-43.52977,172.64476,2007,82,,,,
26714,Gloucester St near England St,-43.52991,172.66156,7518,270,1327,,,
21024,Gloucester St near England St,-43.52979,172.66158,1678,94,,,,
14024,Gloucester St near Fitzgerald Ave,-43.52989,172.64888,12952,557,2494,,,
36033,Gloucester St near Fitzgerald Ave,-43.52977,172.64867,4210,201,,,,
30688,Gloucester St near Latimer Square,-43.52977,172.6415,2753,64,878,,,
36219,Gloucester St near Latimer Square,-43.52989,172.64138,1468,20,,,,
26672,Gloucester St near Stanmore Rd,-43.52989,172.65669,10575,770,4801,,,
43851,Gloucester St near Stanmore Rd,-43.52976,172.65743,3616,263,,,,
32484,Glovers Rd near Larsens Rd,-43.59338,172.56873,179,8,25,,,
50207,Godley Rd,-43.61703,172.30774,1134,6,82,,,
50305,Godley Rd,-43.61712,172.30783,50,0,,,,
41189,Governors Bay Rd,-43.60291,172.69324,699,17,35,,,
41136,Governors Bay Rd near Mariners Cv,-43.60206,172.69046,225,2,,,,
13616,Grahams Rd near Powell Cres,-43.50993,172.56574,1467,34,169,,,
10930,Grahams Rd near Powell Cres,-43.50986,172.565,3,0,,,,
10911,Grahams Rd near Powell Cres,-43.50923,172.56765,1,0,,,,
19923,Grampian St near Cavendish Rd,-43.47719,172.60564,2251,80,498,,,
19574,Grampian St near Cavendish Rd,-43.47708,172.60568,143,2,,,,
28882,Greers Rd near Ardmore Pl,-43.49212,172.5923,2066,109,736,,,
32599,Greers Rd near Ardmore Pl,-43.49132,172.59274,1222,71,,,,
39656,Greers Rd near Brookside Tce,-43.50108,172.58497,3602,190,1941,,,
36597,Greers Rd near Brookside Tce,-43.50036,172.58545,3139,174,,,,
39660,Greers Rd near Clyde Rd,-43.50454,172.58177,5289,234,2699,,,
39673,Greers Rd near Clyde Rd,-43.50459,172.58153,5045,286,,,,
37415,Greers Rd near Ruddenklau Ln,-43.49386,172.59095,3186,144,829,,,
36610,Greers Rd near Ruddenklau Ln,-43.49363,172.59095,2400,94,,,,
37709,Greers Rd near Saffron St,-43.49844,172.58726,3623,171,1438,,,
36606,Greers Rd near Saffron St,-43.49875,172.58681,3162,151,,,,
54256,Greers Rd near Westburn Terrace,-43.5107,172.57461,4284,142,1091,,,
54241,Greers Rd near Westburn Terrace,-43.51008,172.57504,3511,89,,,,
29835,Grimseys Rd near Dunbarton St,-43.47359,172.62735,16,1,1,,,
41170,Grimseys Rd near Dunedin St,-43.47662,172.62726,1921,75,359,,,
29857,Grimseys Rd near Exton St,-43.47097,172.62769,642,23,109,,,
29826,Grimseys Rd near Exton St,-43.47144,172.62752,7,1,,,,
29772,Grimseys Rd near Lowry Ave,-43.46882,172.62786,2251,42,180,,,
29963,Grimseys Rd near Mulberry Pl,-43.47652,172.62709,6,0,1,,,
29971,Grimseys Rd near Prestons Rd,-43.4738,172.62745,4550,196,442,,,
13212,Guildford St near Heath St,-43.5032,172.57588,737,29,111,,,
10781,Guildford St near Heath St,-43.50429,172.5774,145,1,,,,
10775,Guildford St near Heath St,-43.50332,172.5759,40,0,,,,
13208,Guildford St near Wadhurst Pl,-43.50431,172.57762,722,41,110,,,
10656,Guildford St near Wayside Ave,-43.50507,172.5802,645,16,112,,,
10799,Guildford St near Wayside Ave,-43.50513,172.58013,426,8,,,,
23288,Hackthorne Rd near Cashmere Rd,-43.57144,172.62408,227,3,38,,,
23154,Hackthorne Rd near Cashmere Rd,-43.57185,172.62437,72,0,,,,
23203,Hackthorne Rd near Dyers Pass Rd,-43.57678,172.63098,15,0,1,,,
32024,Hackthorne Rd near Gwynfa Ave,-43.5741,172.62455,587,13,68,,,
23149,Hackthorne Rd near Gwynfa Ave,-43.57426,172.62481,20,0,,,,
23131,Hackthorne Rd near Lady Polson Ln,-43.57596,172.6244,19,0,,,,
23290,Hackthorne Rd near Lowick Ave,-43.57684,172.62424,321,5,20,,,
23120,Hackthorne Rd near Lowick Ave,-43.57689,172.62451,2,0,,,,
23177,Hackthorne Rd near Stambridge Pl,-43.57753,172.62619,633,18,39,,,
23219,Hackthorne Rd near Stambridge Pl,-43.57735,172.62639,4,0,,,,
23196,Hackthorne Rd near Westenra Tce,-43.57816,172.63318,1172,7,141,,,
23532,Hackthorne Rd near Westenra Tce,-43.57806,172.6334,2,0,,,,
14114,Hagley Ave near Hagley High Sch,-43.53732,172.62249,7602,144,606,,,
14581,Hagley Ave near Selwyn St,-43.53732,172.62221,15038,199,1578,,,
54508,Halkett Rd near Rossington Dr,-43.51556,172.37642,579,9,23,,,
33999,Halswell,-43.59084,172.57009,7709,98,398,,,
46608,Halswell Junction Rd near Foremans Rd,-43.54362,172.50702,671,35,85,,,
38068,Halswell Junction Rd near Kinrara Pl,-43.58265,172.56485,375,14,51,,,
38052,Halswell Junction Rd near Nicholls Rd,-43.581,172.56166,247,7,29,,,
38075,Halswell Junction Rd near Sabys Rd,-43.58459,172.56861,440,7,46,,,
38034,Halswell Rd,-43.57753,172.56752,5936,183,1076,,,
38023,Halswell Rd,-43.57759,172.56776,322,10,,,,
22092,Halswell Rd and Nash Rd,-43.5676,172.57424,2566,92,133,,,
54111,Halswell Rd near Augustine Drive,-43.56233,172.57991,4339,103,492,,,
54124,Halswell Rd near Augustine Drive,-43.56309,172.57918,369,8,,,,
12607,Halswell Rd near Coppell Pl,-43.55423,172.59354,4996,191,2130,,,
12994,Halswell Rd near Coppell Pl,-43.5545,172.59356,4407,83,,,,
38109,Halswell Rd near Dunbars Rd,-43.57096,172.57167,7203,253,877,,,
33968,Halswell Rd near Glovers Rd,-43.59311,172.56525,181,7,191,,,
33877,Halswell Rd near Glovers Rd,-43.59307,172.56566,73,1,,,,
12653,Halswell Rd near Hendersons Rd,-43.56131,172.58163,3083,113,544,,,
12695,Halswell Rd near Hendersons Rd,-43.56142,172.58179,578,17,,,,
33975,Halswell Rd near Larsens Rd,-43.58826,172.56991,961,21,105,,,
33780,Halswell Rd near Larsens Rd,-43.58884,172.56993,5,0,,,,
38006,Halswell Rd near Lillian St,-43.57488,172.56944,111,4,14,,,
38010,Halswell Rd near Milns Rd,-43.57428,172.56958,8776,301,945,,,
47706,Halswell Rd near Milns Rd,-43.57244,172.57109,226,10,,,,
12719,Halswell Rd near Nash Rd,-43.56698,172.57512,187,13,16,,,
38081,Halswell Rd near Nicholls Rd,-43.58117,172.56787,3254,81,436,,,
33865,Halswell Rd near Nicholls Rd,-43.58096,172.56797,224,28,,,,
33981,Halswell Rd near O'halloran Dr,-43.59109,172.56792,1245,29,89,,,
33896,Halswell Rd near O'halloran Dr,-43.59086,172.56844,206,3,,,,
40415,Halswell Rd near Rowley Ave,-43.55808,172.58709,5841,202,1385,,,
12774,Halswell Rd near Rowley Ave,-43.55802,172.58756,679,20,,,,
12918,Halswell Rd near Tankerville Rd,-43.55655,172.59009,11942,85,2256,,,
12630,Halswell Rd near Tankerville Rd,-43.55598,172.59062,8866,228,,,,
22276,Halswell Rd near Village Lane,-43.58411,172.56994,4376,153,418,,,
33883,Halswell Rd near Village Lane,-43.5844,172.57042,15,0,,,,
40853,Halswell Rd near Warren Cres,-43.56017,172.58356,1985,45,232,,,
12364,Halswell Rd near Warren Cres,-43.55971,172.58464,257,3,,,,
22160,Halswell Rd nearHalswell Junction Rd,-43.58587,172.57053,1345,56,176,,,
33820,Halswell Shops,-43.57921,172.56617,10307,485,2006,,,
22419,Halswell Shops,-43.57962,172.56536,8156,203,,,,
50670,Hansons Ln near Arthur St,-43.53832,172.57473,2200,69,400,,,
50662,Hansons Ln near Arthur St,-43.53832,172.57456,1003,39,,,,
50691,Hansons Ln near Haynes Ave,-43.53387,172.57409,1855,91,273,,,
50689,Hansons Ln near Haynes Ave,-43.53377,172.5739,1319,29,,,,
18891,Hardy St near Beresford St,-43.50878,172.72465,1908,90,970,,,
18131,Hardy St near Beresford St,-43.50875,172.72482,6,2,,,,
19324,Harewood Rd,-43.48921,172.59122,762,28,122,,,
42857,Harewood Rd near Breens Rd,-43.48524,172.58108,997,48,213,,,
19485,Harewood Rd near Cotswold Ave,-43.48647,172.58457,3599,150,612,,,
19369,Harewood Rd near Cotswold Ave,-43.48658,172.5843,978,38,,,,
42835,Harewood Rd near Crofton Rd,-43.48322,172.57618,801,52,89,,,
19162,Harewood Rd near Farrington Ave,-43.48934,172.59095,91,3,11,,,
19416,Harewood Rd near Gardiners Rd,-43.48484,172.58068,4094,197,1052,,,
37462,Harewood Rd near Greers Rd,-43.49081,172.5946,7821,423,1274,,,
42861,Harewood Rd near Harris Cres,-43.49081,172.59501,5620,254,1272,,,
19143,Harewood Rd near Marble Wood Dr,-43.49428,172.60249,4853,173,1072,,,
37436,Harewood Rd near Marble Wood Dr,-43.49429,172.60223,4783,208,,,,
37489,Harewood Rd near Matsons Ave,-43.49543,172.60443,2462,99,366,,,
19136,Harewood Rd near Nunweek Blvd,-43.48206,172.5738,410,13,167,,,
19353,Harewood Rd near Nunweek Blvd,-43.48216,172.57371,151,5,,,,
37086,Harewood Rd near Restell St,-43.4967,172.60688,5315,228,1070,,,
19158,Harewood Rd near St James Ave,-43.49561,172.60507,2896,73,368,,,
